X.2,date,number.wasps.on.nest,temp,weather_holistic,time_day,nest_condition,X.nestcells,video.length,time_wasp_on_nest,wasp_color,wasp_ID,wasp.weight,dart.initiated,dart.received,dart_wm.initiated,dart_wm.recieved,bite.initiated,bite.recieved,grapple.initiated,grapple.recieved,antenna.drumming.initiated,antenna.drumming.recieved,mount..intiated,mount..recieved,nonaggressive.initiated,nonaggressive.recieved,huddle.initiated,huddle.recieved,Explore,Troph_initiate,Troph_request,Troph_recieve,Troph_denied,food_pass_initiate,food_pass_request,food_pass_recieved,food_pass_denied,troph_complete,sum_agg_initiate_nodart_1,log_sum_agg_initate_nodart_1,food_pass_complete,all_coop,log_all_coop,log_dart,log_mount,log_bite,coop_recieve,coop_initiate,log_coop_recieve,log_coop_initiate,mintotal_on_nest,log_troph_initiate,log_troph_recieve,log_troph_complete,log_food_pass_complete,log_troph_reject,log_troph_request,mintotal_video,proptimeinvideo,all_troph_interactions_positive,all_troph_interactions,all_food_pass_interactions_positive,all_food_interactions,Log_troph_positive,Log_troph_all,Log_food_positive,Log_food_all,log_mins_on_nest,Day_from_Date,Month_from_Date,Vid_Day,Big_larvae,Any_larvae,neutral,Log_agg,body_contact
B2,6.20.21,4,79,sunny,11:40,eggs,18,1:48:37,1:47:33,GRRG,GRRG,0.15,2,1,1,0,58,18,0,0,0,0,1,0,1,4,0,0,2.75,0,0,0,0,0,0,0,0,0,60,4.110873864,0,0,0,1.098612289,0.693147181,4.077537444,0,0,0,0,107.55,0,0,0,0,0,0,108.6166667,0.99017953,0,0,0,0,0,0,0,0,4.687210896,20,6,20,n,n,4.75,1.97856307,319
B2,6.20.21,4,79,sunny,11:40,eggs,18,1:48:37,1:06:14,RRYY,RRYY,0.14,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.23333333,0,0,0,0,0,0,108.6166667,0.609789781,0,0,0,0,0,0,0,0,4.208169156,20,6,20,n,n,3.75,0.34657359,267.5
B2,6.20.21,4,79,sunny,11:40,eggs,18,1:48:37,1:30:07,RRWW,RRWW,0.17,1,0,0,0,1,3,0,0,0,0,0,2,3,1,0,0,6.75,0,0,0,0,0,0,0,0,0,1,0.693147181,0,0,0,0.693147181,0,0.693147181,0,0,0,0,90.11666667,0,0,0,0,0,0,108.6166667,0.829676231,0,0,0,0,0,0,0,0,4.512140737,20,6,20,n,n,4.75,1.262464002,57.5
B2,6.20.21,4,79,sunny,11:40,eggs,18,1:48:37,1:46:10,BBRR,BBRR,0.12,0,2,0,1,20,53,0,0,0,0,2,1,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,22,3.135494216,0,0,0,0,1.098612289,3.044522438,0,0,0,0,106.1666667,0,0,0,0,0,0,108.6166667,0.977443609,0,0,0,0,0,0,0,0,4.674385255,20,6,20,n,n,4.75,1.352911513,128.5
B2,6.21.21,3,75,part_sun,11:30,small_larvae,22,1:43:40,1:43:40,GRRG,GRRG,0.15,0,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,2.75,0,1,0,0,0,1,0,0,0,5,1.791759469,0,0,0,0,0,1.791759469,0,0,0,0,103.6666667,0,0,0,0,0,0.693147181,103.6666667,1,1,1,1,1,0.693147181,0.693147181,0.693147181,0.693147181,4.650780698,21,6,21,n,y,4.75,1.97856307,319
B2,6.21.21,3,75,part_sun,11:30,small_larvae,22,1:43:40,1:43:40,RRWW,RRWW,0.17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.6666667,0,0,0,0,0,0.693147181,103.6666667,1,1,1,0,0,0.693147181,0.693147181,0,0,4.650780698,21,6,21,n,y,4.75,1.262464002,57.5
B2,6.21.21,3,75,part_sun,11:30,small_larvae,22,1:43:40,1:40:53,RRYY,RRYY,0.14,1,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0,100.8833333,0,0,0,0,0.693147181,0,103.6666667,0.973151125,0,1,0,1,0,0.693147181,0,0.693147181,4.623828367,21,6,21,n,y,3.75,0.34657359,267.5
B2,6.24.21,4,75,sunny,11:30,small_larvae,19,1:48:00,1:48:00,GRRG,GRRG,0.15,1,1,0,1,8,0,0,0,0,0,0,0,0,2,0,0,2.75,0,2,1,0,0,1,0,0,1,8,2.197224577,0,1,0.693147181,0.693147181,0,2.197224577,1,0,0.693147181,0,108,0,0.693147181,0.693147181,0,0,1.098612289,108,1,3,3,1,1,1.386294361,1.386294361,0.693147181,0.693147181,4.691347882,24,6,24,n,y,4.75,1.97856307,319
B2,6.24.21,4,75,sunny,11:30,small_larvae,19,1:48:00,0:09:00,RRWW,RRWW,0.17,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,6.75,0,0,0,0,1,0,0,0,0,0,0,1,1,0.693147181,0,0,0,0,1,0,0.693147181,9,0,0,0,0.693147181,0,0,108,0.083333333,0,0,1,1,0,0,0.693147181,0.693147181,2.302585093,24,6,24,n,y,4.75,1.262464002,57.5
B2,6.24.21,4,75,sunny,11:30,small_larvae,19,1:48:00,0:45:55,RRYY,RRYY,0.14,1,1,1,0,1,3,0,0,0,0,0,0,2,4,0,0,10,0,0,1,0,0,0,1,1,1,2,1.098612289,1,2,1.098612289,0.693147181,0,0.693147181,2,0,1.098612289,0,45.91666667,0,0.693147181,0.693147181,0.693147181,0,0,108,0.425154321,1,1,1,2,0.693147181,0.693147181,0.693147181,1.098612289,3.848372978,24,6,24,n,y,3.75,0.34657359,267.5
B2,6.24.21,4,75,sunny,11:30,small_larvae,19,1:48:00,0:00:55,YYGG,YYGG,0.13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666667,0,0,0,0,0,0,108,0.008487654,0,0,0,0,0,0,0,0,0.650587566,24,6,24,n,y,4,1.322066758,128.5
B2,7.10.21,2,75,mostly_sun,11:45,big_larvae,24,1:55:00,1:49:00,GRRG,GRRG,0.15,6,31,0,0,4,0,0,0,0,0,0,0,4,11,0,0,2.75,0,0,1,0,0,0,0,0,1,4,1.609437912,0,1,0.693147181,1.945910149,0,1.609437912,1,0,0.693147181,0,109,0,0.693147181,0.693147181,0,0,0,115,0.947826087,1,1,0,0,0.693147181,0.693147181,0,0,4.700480366,10,7,40,y,y,4.75,1.97856307,319
B2,6.23.21,3,63,mostly_cloud,12:00,small_larvae,23,2:00:00,1:52:00,GRRG,GRRG,0.15,0,0,2,0,0,0,0,0,0,0,0,0,8,6,0,0,2.75,0,0,0,0,0,7,0,0,0,2,1.098612289,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,120,0.933333333,0,0,7,7,0,0,2.079441542,2.079441542,4.727387819,23,6,23,n,y,4.75,1.97856307,319
B2,6.23.21,3,63,mostly_cloud,12:00,small_larvae,23,2:00:00,1:08:00,RRWW,RRWW,0.17,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,6.75,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.693147181,120,0.566666667,1,1,4,4,0.693147181,0.693147181,1.609437912,1.609437912,4.234106505,23,6,23,n,y,4.75,1.262464002,57.5
B2,6.23.21,3,63,mostly_cloud,12:00,small_larvae,23,2:00:00,1:52:00,RRYY,RRYY,0.14,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,10,0,0,1,0,0,0,0,11,1,0,0,0,1,0.693147181,0,0,0,1,0,0.693147181,0,112,0,0.693147181,0.693147181,0,0,0,120,0.933333333,1,1,0,11,0.693147181,0.693147181,0,2.48490665,4.727387819,23,6,23,n,y,3.75,0.34657359,267.5
B2,7.10.22,2,76,mostly_sun,11:45,big_larvae,24,1:55:00,1:49:00,RRYY,RRYY,0.14,31,6,0,0,0,4,0,0,0,0,0,0,11,4,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,1,0.693147181,3.465735903,0,0,0,1,0,0.693147181,109,0.693147181,0,0.693147181,0,0,0,115,0.947826087,1,1,0,0,0.693147181,0.693147181,0,0,4.700480366,10,7,40,y,y,3.75,0.34657359,267.5
B4,7.22.21,2,73,mostly_sun,12:20,cap,35,1:50:03,1:38:19,RYRY,RYRY,0.09,15,21,0,0,1,3,0,0,0,0,0,0,2,2,0,0,2.75,0,0,0,0,0,1,0,1,0,1,0.693147181,0,0,0,2.772588722,0,0.693147181,0,0,0,0,98.31666667,0,0,0,0,0,0,110.05,0.893381796,0,0,1,2,0,0,0.693147181,1.098612289,4.598313399,22,7,52,n,n,6,0.972955075,107.25
B4,7.22.21,2,73,mostly_sun,12:20,cap,35,1:50:03,1:42:05,YYRR,YYRR,0.13,21,15,0,0,3,1,0,0,0,0,0,0,2,2,0,0,5.5,0,0,0,0,0,1,0,1,0,3,1.386294361,0,0,0,3.091042453,0,1.386294361,0,0,0,0,102.0833333,0,0,0,0,0,0,110.05,0.927608662,0,0,1,2,0,0,0.693147181,1.098612289,4.635537722,22,7,52,n,n,4,0.274653072,154
B4,7.15.21,2,81,part_sun,11:50,cap,31,1:53:14,1:37:43,RYRY,RYRY,0.09,17,9,2,0,7,0,1,0,0,0,0,0,4,9,0,0,2.75,0,0,0,0,1,0,1,0,0,10,2.397895273,2,2,1.098612289,2.890371758,0,2.079441542,1,1,0.693147181,0.693147181,97.71666667,0,0,0,1.098612289,0,0,113.2333333,0.862967324,0,0,2,2,0,0,1.098612289,1.098612289,4.592253794,15,7,45,n,n,6,0.972955075,107.25
B4,7.15.21,2,81,part_sun,11:50,cap,31,1:53:14,1:47:39,YYRR,YYRR,0.13,9,17,0,2,0,7,0,1,0,0,0,0,9,4,0,0,5.5,0,0,0,0,0,0,1,0,0,0,0,1,1,0.693147181,2.302585093,0,0,1,0,0.693147181,0,107.65,0,0,0,0.693147181,0,0,113.2333333,0.950691787,0,0,1,1,0,0,0.693147181,0.693147181,4.688131707,15,7,45,n,n,4,0.274653072,154
B4,6.20.21,2,79,sunny,11:50,small_larvae,19,1:47:32,1:03:07,RYRY,RYRY,0.09,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2.75,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.11666667,0,0,0,0,0,0,107.5333333,0.586949783,0,0,11,11,0,0,2.48490665,2.48490665,4.160704341,20,6,20,n,y,6,0.972955075,107.25
B4,6.20.21,2,79,sunny,11:50,small_larvae,19,1:47:32,1:27:07,YYRR,YYRR,0.13,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5.5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0,87.11666667,0,0,0,0,0,0,107.5333333,0.810136392,0,0,0,11,0,0,0,2.48490665,4.478661694,20,6,20,n,y,4,0.274653072,154
B8,7.15.21,3,81,part_sun,11:50,cap,45,2:11:18,2:11:18,WWGG,WWGG,0.17,37,29,0,0,0,4,0,0,0,0,0,0,4,11,0,0,3.25,0,1,0,0,0,0,3,0,0,0,0,3,3,1.386294361,3.63758616,0,0,3,0,1.386294361,0,131.3,0,0,0,1.386294361,0,0.693147181,131.3,1,1,1,3,3,0.693147181,0.693147181,1.386294361,1.386294361,4.885072071,15,7,45,n,n,6.25,0.173286795,437.5
B8,7.15.21,3,81,part_sun,11:50,cap,45,2:11:18,2:11:18,RYBW,RYBW,0.11,27,37,0,0,4,4,0,0,0,0,0,0,11,4,0,0,3,0,0,0,1,3,0,0,0,0,4,1.609437912,3,3,1.386294361,3.33220451,0,1.609437912,0,3,0,1.386294361,131.3,0,0,0,1.386294361,0.693147181,0,131.3,1,0,1,3,3,0,0.693147181,1.386294361,1.386294361,4.885072071,15,7,45,n,n,6,0,36
B8,7.22.21,2,73,mostly_sun,11:50,cap,51,1:51:44,1:51:44,WWGG,WWGG,0.17,13,9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3.25,0,0,1,0,0,0,0,0,1,0,0,0,1,0.693147181,2.63905733,0,0,1,0,0.693147181,0,111.7333333,0,0.693147181,0.693147181,0,0,0,111.7333333,1,1,1,0,0,0.693147181,0.693147181,0,0,4.725025148,22,7,52,n,n,6.25,0.173286795,437.5
B8,7.22.21,2,73,mostly_sun,11:50,cap,51,1:51:44,1:29:43,RYBW,RYBW,0.11,9,13,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0.693147181,2.302585093,0,0,0,1,0,0.693147181,89.71666667,0.693147181,0,0.693147181,0,0,0,111.7333333,0.802953461,1,1,0,0,0.693147181,0.693147181,0,0,4.507741096,22,7,52,n,n,6,0,36
B8,7.9.21,2,72,mostly_sun,11:30,cap_biglarvae,38,1:43:04,1:36:19,WWGG,WWGG,0.17,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079441542,0,0,0,0,0,0,96.31666667,0,0,0,0,0,0,103.0666667,0.934508409,0,0,0,0,0,0,0,0,4.577970266,9,7,39,y,y,6.25,0.173286795,437.5
B8,7.9.21,2,72,mostly_sun,11:30,cap_biglarvae,38,1:43:04,1:40:19,RYBW,RYBW,0.11,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945910149,0,0,0,0,0,0,100.3166667,0,0,0,0,0,0,103.0666667,0.973318241,0,0,0,0,0,0,0,0,4.618250926,9,7,39,y,y,6,0,36
B8,6.24.21,2,75,sunny,11:31,small_larvae,24,1:56:00,1:51:00,RYBW,RYBW,0.11,11,2,0,0,0,1,0,0,0,0,0,0,6,15,0,0,3,1,0,0,1,0,4,0,1,1,0,0,0,1,0.693147181,2.48490665,0,0,0,1,0,0.693147181,111,0.693147181,0,0.693147181,0,0.693147181,0,116,0.956896552,1,2,4,5,0.693147181,1.098612289,1.609437912,1.791759469,4.718498871,24,6,24,n,y,6,0,36
B8,6.24.22,2,75,sunny,11:31,small_larvae,24,1:56:00,1:54:00,WWGG,WWGG,0.17,2,12,0,0,1,0,0,0,0,0,0,0,6,11,0,0,3.25,0,1,1,0,0,1,0,4,1,1,0.693147181,0,1,0.693147181,1.098612289,0,0.693147181,1,0,0.693147181,0,114,0,0.693147181,0.693147181,0,0,0.693147181,116,0.982758621,2,2,1,5,1.098612289,1.098612289,0.693147181,1.791759469,4.744932128,24,6,24,n,y,6.25,0.173286795,437.5
B21,7.28.21,2,82,mostly_sun,12:05,med_larvae,17,2:05:22,2:05:13,BYYB,BYYB,0.18,1,0,0,0,44,0,0,0,0,0,1,0,3,2,0,0,5.5,0,0,0,0,0,0,0,0,0,45,3.828641396,0,0,0,0.693147181,0.693147181,3.80666249,0,0,0,0,125.2166667,0,0,0,0,0,0,125.3666667,0.99880351,0,0,0,0,0,0,0,0,4.838000007,28,7,58,n,y,6.5,0.693147181,90.25
B21,7.28.21,2,82,mostly_sun,12:05,med_larvae,17,2:05:22,1:55:59,RRGG,RRGG,0.14,0,1,0,0,0,44,0,0,0,0,0,1,2,3,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.9833333,0,0,0,0,0,0,125.3666667,0.925152885,0,0,0,0,0,0,0,0,4.762031474,28,7,58,n,y,2.5,1.336776883,108.5
B25,7.6.21,2,86,mostly_sun,12:07,cap_biglarvae,25,2:00:21,1:55:59,RRBB,RRBB,0.17,13,31,0,0,1,28,0,0,0,0,0,0,4,9,0,0,7,0,0,0,0,1,0,0,2,0,1,0.693147181,1,1,0.693147181,2.63905733,0,0.693147181,0,1,0,0.693147181,115.9833333,0,0,0,0.693147181,0,0,120.35,0.963716936,0,0,1,3,0,0,0.693147181,1.386294361,4.762031474,6,7,36,y,y,4,1.06916653,50.75
B25,7.6.21,2,86,mostly_sun,12:07,cap_biglarvae,25,2:00:21,1:47:30,WYYW,WYYW,0.15,31,13,0,0,28,1,0,0,0,0,0,0,9,4,0,0,1,0,0,0,0,0,2,1,0,0,28,3.36729583,1,1,0.693147181,3.465735903,0,3.36729583,1,0,0.693147181,0,107.5,0,0,0,0.693147181,0,0,120.35,0.893228085,0,0,3,3,0,0,1.386294361,1.386294361,4.686750173,6,7,36,y,y,3.5,0.173286795,235.25
B25,7.7.21,2,84,part_sun,11:54,cap_biglarvae,28,2:19:10,1:06:26,RRBB,RRBB,0.17,6,38,0,0,0,19,0,0,0,0,0,1,5,4,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.945910149,0,0,0,0,0,0,66.43333333,0,0,0,0,0.693147181,0,139.1666667,0.477365269,0,1,0,0,0,0.693147181,0,0,4.211139455,7,7,37,y,y,4,1.06916653,50.75
B25,7.7.21,2,84,part_sun,11:54,cap_biglarvae,28,2:19:10,2:17:18,WYYW,WYYW,0.15,38,6,0,0,19,0,0,0,0,0,1,0,4,5,0,0,1,0,1,0,0,0,0,0,0,0,20,3.044522438,0,0,0,3.663561646,0.693147181,2.995732274,0,0,0,0,137.3,0,0,0,0,0,0.693147181,139.1666667,0.986586826,1,1,0,0,0.693147181,0.693147181,0,0,4.929425239,7,7,37,y,y,3.5,0.173286795,235.25
B25,7.9.21,2,72,part_sun,11:35,cap_biglarvae,28,2:13:06,2:06:27,RRBB,RRBB,0.17,7,35,0,0,0,9,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079441542,0,0,0,0,0,0,126.45,0,0,0,0,0,0,133.1,0.950037566,0,0,0,0,0,0,0,0,4.847724131,9,7,39,y,y,4,1.06916653,50.75
B25,7.9.21,2,72,part_sun,11:35,cap_biglarvae,28,2:13:06,2:05:16,WYYW,WYYW,0.15,35,7,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2.302585093,0,0,0,3.583518938,0,2.302585093,0,0,0,0,125.2666667,0,0,0,0,0,0,133.1,0.941147008,0,0,0,0,0,0,0,0,4.838396073,9,7,39,y,y,3.5,0.173286795,235.25
B25,7.22.21,3,73,mostly_sun,12:20,cap_biglarvae,32,2:02:00,2:02:00,RRBB,RRBB,0.17,6,30,0,0,0,39,0,1,0,0,0,3,7,30,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0.693147181,1.945910149,0,0,0,1,0,0.693147181,122,0.693147181,0,0.693147181,0,0,0,122,1,1,1,0,0,0.693147181,0.693147181,0,0,4.812184355,22,7,52,y,y,4,1.06916653,50.75
B25,7.22.21,3,73,mostly_sun,12:20,cap_biglarvae,32,2:02:00,1:19:00,WYYW,WYYW,0.15,29,6,0,0,35,0,0,0,0,0,3,0,30,7,0,0,1,0,0,0,0,0,0,0,0,0,38,3.663561646,0,0,0,3.401197382,1.386294361,3.583518938,0,0,0,0,79,0,0,0,0,0,0,122,0.647540984,0,0,0,0,0,0,0,0,4.382026635,22,7,52,y,y,3.5,0.173286795,235.25
